pInfected, gamma, beta, delta, epsilon, zeta, eta, N, elapsed_time, timesteps, events, timesteps_with_events, mean_outbreak_size, max_outbreak_size, max_outbreak_proportion, exposed_from_infected, exposed_from_dead, rewire_degree
0.002, 0.00136557, 0.06851662, 0.1151, 0.389, 0.2, 0.5, 0.083333, 5000, 135.879945, 166, 19047, 137, 625.0, 1151, 0.2302, 3085, 1907, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.389, 0.2, 0.5, 0.083333, 5000, 132.779189, 186, 18996, 138, 833.333333333, 2297, 0.4594, 3168, 1826, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.389, 0.2, 0.5, 0.083333, 5000, 134.915723, 183, 19004, 138, 384.615384615, 1037, 0.2074, 3124, 1863, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.389, 0.2, 0.5, 0.083333, 5000, 130.520243, 163, 18958, 142, 833.333333333, 1577, 0.3154, 3261, 1733, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.389, 0.2, 0.5, 0.083333, 5000, 132.301302, 166, 19002, 141, 833.333333333, 2577, 0.5154, 3110, 1884, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.389, 0.2, 0.5, 0.083333, 5000, 131.860833, 167, 18983, 144, 2500.0, 3976, 0.7952, 3123, 1875, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.389, 0.2, 0.5, 0.083333, 5000, 133.792172, 166, 19037, 140, 1666.66666667, 3835, 0.767, 3180, 1817, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.389, 0.2, 0.5, 0.083333, 5000, 134.303779, 159, 18991, 139, 500.0, 1105, 0.221, 3214, 1776, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.389, 0.2, 0.5, 0.083333, 5000, 131.529575, 192, 18977, 137, 833.333333333, 1457, 0.2914, 3124, 1870, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.389, 0.2, 0.5, 0.083333, 5000, 132.275802, 173, 18982, 141, 714.285714286, 1307, 0.2614, 3166, 1827, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.389, 0.2, 0.5, 0.083333, 5000, 132.685077, 181, 18967, 139, 333.333333333, 1011, 0.2022, 3262, 1723, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.389, 0.2, 0.5, 0.083333, 5000, 129.990686, 161, 18944, 138, 1000.0, 1523, 0.3046, 3276, 1719, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.389, 0.2, 0.5, 0.083333, 5000, 133.00388, 154, 18985, 131, 1000.0, 1782, 0.3564, 3205, 1790, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.389, 0.2, 0.5, 0.083333, 5000, 130.499844, 178, 18951, 135, 500.0, 1401, 0.2802, 3230, 1760, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.389, 0.2, 0.5, 0.083333, 5000, 131.600514, 172, 18957, 142, 1250.0, 2370, 0.474, 3173, 1823, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.389, 0.2, 0.5, 0.083333, 5000, 133.778996, 190, 19027, 137, 714.285714286, 2188, 0.4376, 3130, 1863, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.389, 0.2, 0.5, 0.083333, 5000, 131.325821, 156, 18949, 136, 625.0, 1031, 0.2062, 3192, 1800, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.389, 0.2, 0.5, 0.083333, 5000, 133.20639, 172, 18991, 136, 1666.66666667, 2284, 0.4568, 3096, 1901, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.389, 0.2, 0.5, 0.083333, 5000, 131.562983, 185, 18967, 137, 714.285714286, 1586, 0.3172, 3170, 1823, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.389, 0.2, 0.5, 0.083333, 5000, 132.721972, 158, 18963, 138, 714.285714286, 1902, 0.3804, 3125, 1868, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.389, 0.2, 0.5, 0.083333, 5000, 133.879198, 151, 18995, 131, 833.333333333, 1636, 0.3272, 3148, 1846, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.389, 0.2, 0.5, 0.083333, 5000, 135.889315, 178, 19058, 141, 833.333333333, 3246, 0.6492, 3118, 1876, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.389, 0.2, 0.5, 0.083333, 5000, 133.559799, 179, 19009, 148, 1250.0, 2148, 0.4296, 3269, 1727, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.389, 0.2, 0.5, 0.083333, 5000, 131.700865, 179, 18955, 138, 833.333333333, 1099, 0.2198, 3248, 1746, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.389, 0.2, 0.5, 0.083333, 5000, 132.979128, 159, 18970, 135, 714.285714286, 1198, 0.2396, 3213, 1780, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.389, 0.2, 0.5, 0.083333, 5000, 135.380573, 170, 19019, 139, 833.333333333, 1340, 0.268, 3119, 1875, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.389, 0.2, 0.5, 0.083333, 5000, 133.618512, 213, 18982, 137, 714.285714286, 1817, 0.3634, 3104, 1889, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.389, 0.2, 0.5, 0.083333, 5000, 133.518491, 159, 19017, 135, 833.333333333, 1431, 0.2862, 3153, 1841, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.389, 0.2, 0.5, 0.083333, 5000, 134.593291, 137, 19010, 132, 1000.0, 2025, 0.405, 3053, 1942, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.389, 0.2, 0.5, 0.083333, 5000, 133.818651, 199, 18995, 134, 714.285714286, 2041, 0.4082, 3129, 1864, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.389, 0.2, 0.5, 0.083333, 5000, 133.397158, 216, 18979, 144, 500.0, 851, 0.1702, 3256, 1734, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.389, 0.2, 0.5, 0.083333, 5000, 133.872806, 158, 19009, 136, 714.285714286, 1920, 0.384, 3132, 1861, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.389, 0.2, 0.5, 0.083333, 5000, 132.257343, 160, 18950, 140, 416.666666667, 1494, 0.2988, 3262, 1726, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.389, 0.2, 0.5, 0.083333, 5000, 132.154126, 171, 18956, 141, 625.0, 1905, 0.381, 3179, 1813, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.389, 0.2, 0.5, 0.083333, 5000, 133.431203, 193, 19001, 141, 833.333333333, 1665, 0.333, 3244, 1750, 0.25
