pInfected, gamma, beta, delta, epsilon, zeta, eta, N, elapsed_time, timesteps, events, timesteps_with_events, mean_outbreak_size, max_outbreak_size, max_outbreak_proportion, exposed_from_infected, exposed_from_dead, rewire_degree
0.002, 0.00136557, 0.06851662, 0.1151, 0.289, 0.2, 0.5, 0.083333, 5000, 167.404994, 174, 19000, 143, 1666.66666667, 2493, 0.4986, 3404, 1593, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.289, 0.2, 0.5, 0.083333, 5000, 162.826779, 149, 18961, 136, 454.545454545, 1015, 0.203, 3506, 1483, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.289, 0.2, 0.5, 0.083333, 5000, 165.690363, 178, 19012, 128, 454.545454545, 726, 0.1452, 3333, 1656, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.289, 0.2, 0.5, 0.083333, 5000, 166.698102, 162, 19012, 143, 625.0, 1863, 0.3726, 3446, 1546, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.289, 0.2, 0.5, 0.083333, 5000, 164.11626, 173, 18986, 144, 1000.0, 1725, 0.345, 3445, 1550, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.289, 0.2, 0.5, 0.083333, 5000, 165.278105, 190, 18999, 141, 833.333333333, 1371, 0.2742, 3323, 1671, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.289, 0.2, 0.5, 0.083333, 5000, 166.275807, 144, 19006, 136, 625.0, 1410, 0.282, 3443, 1549, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.289, 0.2, 0.5, 0.083333, 5000, 167.581585, 178, 19071, 138, 555.555555556, 1401, 0.2802, 3407, 1584, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.289, 0.2, 0.5, 0.083333, 5000, 158.963643, 162, 18935, 139, 1250.0, 1633, 0.3266, 3380, 1616, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.289, 0.2, 0.5, 0.083333, 5000, 162.339748, 196, 18988, 138, 714.285714286, 1424, 0.2848, 3391, 1602, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.289, 0.2, 0.5, 0.083333, 5000, 161.024294, 169, 18962, 140, 625.0, 988, 0.1976, 3482, 1510, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.289, 0.2, 0.5, 0.083333, 5000, 169.926561, 166, 19040, 135, 1250.0, 2272, 0.4544, 3421, 1575, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.289, 0.2, 0.5, 0.083333, 5000, 172.466672, 158, 18994, 141, 714.285714286, 1060, 0.212, 3423, 1570, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.289, 0.2, 0.5, 0.083333, 5000, 168.036888, 162, 19018, 134, 714.285714286, 1619, 0.3238, 3499, 1494, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.289, 0.2, 0.5, 0.083333, 5000, 163.079043, 168, 18951, 143, 625.0, 1588, 0.3176, 3466, 1526, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.289, 0.2, 0.5, 0.083333, 5000, 168.49395, 165, 19014, 141, 714.285714286, 1839, 0.3678, 3407, 1586, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.289, 0.2, 0.5, 0.083333, 5000, 169.276439, 183, 19058, 144, 1250.0, 2056, 0.4112, 3223, 1773, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.289, 0.2, 0.5, 0.083333, 5000, 167.326794, 143, 18999, 134, 833.333333333, 1285, 0.257, 3324, 1670, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.289, 0.2, 0.5, 0.083333, 5000, 166.371924, 172, 18985, 145, 1000.0, 2112, 0.4224, 3342, 1653, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.289, 0.2, 0.5, 0.083333, 5000, 167.578358, 191, 18967, 147, 1666.66666667, 2889, 0.5778, 3393, 1604, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.289, 0.2, 0.5, 0.083333, 5000, 166.535721, 169, 18972, 139, 714.285714286, 1933, 0.3866, 3300, 1693, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.289, 0.2, 0.5, 0.083333, 5000, 165.338035, 152, 18953, 133, 714.285714286, 2210, 0.442, 3518, 1475, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.289, 0.2, 0.5, 0.083333, 5000, 164.805106, 177, 18962, 135, 625.0, 1133, 0.2266, 3449, 1543, 0.25
