p_edge_creation,pInfected,gamma,beta,eta,N,elapsed_time,timesteps,events,timesteps_with_events,mean_outbreak_size,max_outbreak_size,max_outbreak_proportion
0.002, 0.00136557, 0.06851662, 0.3151, 0.083333, 5000, 1.045934, 183, 14984, 131, 714.285714286, 1744, 0.3488
0.002, 0.00136557, 0.06851662, 0.3151, 0.083333, 5000, 1.032136, 150, 14986, 128, 714.285714286, 1667, 0.3334
0.002, 0.00136557, 0.06851662, 0.3151, 0.083333, 5000, 1.026936, 174, 14982, 128, 555.555555556, 968, 0.1936
0.002, 0.00136557, 0.06851662, 0.3151, 0.083333, 5000, 1.023246, 142, 14980, 126, 555.555555556, 1050, 0.21
0.002, 0.00136557, 0.06851662, 0.3151, 0.083333, 5000, 1.010286, 179, 14976, 124, 454.545454545, 1459, 0.2918
0.002, 0.00136557, 0.06851662, 0.3151, 0.083333, 5000, 0.999873, 165, 14987, 128, 833.333333333, 1964, 0.3928
0.002, 0.00136557, 0.06851662, 0.3151, 0.083333, 5000, 1.026255, 166, 14983, 129, 625.0, 1998, 0.3996
0.002, 0.00136557, 0.06851662, 0.3151, 0.083333, 5000, 1.048737, 165, 14980, 132, 555.555555556, 2257, 0.4514
0.002, 0.00136557, 0.06851662, 0.3151, 0.083333, 5000, 1.026559, 204, 14996, 135, 2500.0, 3377, 0.6754
0.002, 0.00136557, 0.06851662, 0.3151, 0.083333, 5000, 1.025319, 168, 14981, 129, 625.0, 2410, 0.482
0.002, 0.00136557, 0.06851662, 0.3151, 0.083333, 5000, 1.020276, 183, 14964, 124, 294.117647059, 1238, 0.2476
0.002, 0.00136557, 0.06851662, 0.3151, 0.083333, 5000, 1.055574, 184, 14994, 130, 1666.66666667, 2042, 0.4084
0.002, 0.00136557, 0.06851662, 0.3151, 0.083333, 5000, 1.010292, 157, 14988, 126, 833.333333333, 1786, 0.3572
0.002, 0.00136557, 0.06851662, 0.3151, 0.083333, 5000, 1.104797, 156, 14982, 130, 625.0, 1673, 0.3346
0.002, 0.00136557, 0.06851662, 0.3151, 0.083333, 5000, 1.05942, 157, 14992, 134, 1250.0, 1719, 0.3438
0.002, 0.00136557, 0.06851662, 0.3151, 0.083333, 5000, 1.077377, 156, 14983, 134, 625.0, 1674, 0.3348
0.002, 0.00136557, 0.06851662, 0.3151, 0.083333, 5000, 1.058136, 182, 14986, 127, 714.285714286, 1557, 0.3114
0.002, 0.00136557, 0.06851662, 0.3151, 0.083333, 5000, 1.013775, 141, 14986, 125, 833.333333333, 2563, 0.5126
0.002, 0.00136557, 0.06851662, 0.3151, 0.083333, 5000, 1.037733, 167, 14985, 132, 714.285714286, 1360, 0.272
0.002, 0.00136557, 0.06851662, 0.3151, 0.083333, 5000, 1.039749, 144, 14986, 128, 714.285714286, 1619, 0.3238
0.002, 0.00136557, 0.06851662, 0.3151, 0.083333, 5000, 1.050721, 206, 14988, 132, 833.333333333, 1953, 0.3906
0.002, 0.00136557, 0.06851662, 0.3151, 0.083333, 5000, 1.111446, 166, 14979, 133, 500.0, 1078, 0.2156
0.002, 0.00136557, 0.06851662, 0.3151, 0.083333, 5000, 1.048721, 166, 14980, 128, 500.0, 1398, 0.2796
0.002, 0.00136557, 0.06851662, 0.3151, 0.083333, 5000, 1.057069, 187, 14982, 132, 625.0, 1898, 0.3796
0.002, 0.00136557, 0.06851662, 0.3151, 0.083333, 5000, 1.041346, 167, 14984, 124, 625.0, 1461, 0.2922
0.002, 0.00136557, 0.06851662, 0.3151, 0.083333, 5000, 1.144711, 142, 14975, 126, 416.666666667, 1748, 0.3496
0.002, 0.00136557, 0.06851662, 0.3151, 0.083333, 5000, 1.154728, 153, 14993, 132, 1666.66666667, 4925, 0.985
0.002, 0.00136557, 0.06851662, 0.3151, 0.083333, 5000, 1.020868, 167, 14986, 124, 714.285714286, 1477, 0.2954
0.002, 0.00136557, 0.06851662, 0.3151, 0.083333, 5000, 1.018302, 204, 14982, 129, 555.555555556, 1736, 0.3472
0.002, 0.00136557, 0.06851662, 0.3151, 0.083333, 5000, 1.002138, 134, 14987, 124, 833.333333333, 2459, 0.4918
0.002, 0.00136557, 0.06851662, 0.3151, 0.083333, 5000, 1.021705, 164, 14979, 126, 500.0, 1223, 0.2446
0.002, 0.00136557, 0.06851662, 0.3151, 0.083333, 5000, 1.030145, 192, 14984, 130, 625.0, 1519, 0.3038
0.002, 0.00136557, 0.06851662, 0.3151, 0.083333, 5000, 1.041866, 162, 14990, 134, 1000.0, 3174, 0.6348
0.002, 0.00136557, 0.06851662, 0.3151, 0.083333, 5000, 0.999193, 161, 14983, 127, 625.0, 2120, 0.424
0.002, 0.00136557, 0.06851662, 0.3151, 0.083333, 5000, 1.170826, 160, 14981, 127, 555.555555556, 2308, 0.4616
