p_edge_creation,pInfected,gamma,beta,eta,N,elapsed_time,timesteps,events,timesteps_with_events,mean_outbreak_size,max_outbreak_size,max_outbreak_proportion
0.002, 0.00136557, 0.06851662, 0.1151, 0.083333, 5010, 2.403968, 612, 14810, 579, 66.8, 2252, 0.449500998004
0.002, 0.00136557, 0.06851662, 0.1151, 0.083333, 5010, 2.04834, 476, 14932, 454, 143.142857143, 1589, 0.317165668663
0.002, 0.00136557, 0.06851662, 0.1151, 0.083333, 5010, 1.611393, 324, 14932, 299, 143.142857143, 1363, 0.272055888224
0.002, 0.00136557, 0.06851662, 0.1151, 0.083333, 5010, 2.312169, 494, 14934, 475, 147.352941176, 1761, 0.351497005988
0.002, 0.00136557, 0.06851662, 0.1151, 0.083333, 5010, 2.706548, 678, 15024, 625, 1670.0, 2605, 0.51996007984
0.002, 0.00136557, 0.06851662, 0.1151, 0.083333, 5010, 2.268408, 525, 14976, 503, 250.5, 2130, 0.425149700599
0.002, 0.00136557, 0.06851662, 0.1151, 0.083333, 5010, 2.286279, 557, 14978, 528, 263.684210526, 2123, 0.42375249501
0.002, 0.00136557, 0.06851662, 0.1151, 0.083333, 5010, 1.565295, 317, 14891, 283, 102.244897959, 1068, 0.213173652695
0.002, 0.00136557, 0.06851662, 0.1151, 0.083333, 5010, 1.681069, 350, 15012, 329, 556.666666667, 1116, 0.222754491018
0.002, 0.00136557, 0.06851662, 0.1151, 0.083333, 5010, 1.812164, 441, 14937, 372, 151.818181818, 1690, 0.337325349301
0.002, 0.00136557, 0.06851662, 0.1151, 0.083333, 5010, 2.643257, 661, 14860, 643, 87.8947368421, 4954, 0.988822355289
0.002, 0.00136557, 0.06851662, 0.1151, 0.083333, 5010, 1.683705, 378, 14888, 322, 100.2, 1833, 0.365868263473
0.002, 0.00136557, 0.06851662, 0.1151, 0.083333, 5010, 1.630157, 353, 14850, 306, 80.8064516129, 1062, 0.211976047904
0.002, 0.00136557, 0.06851662, 0.1151, 0.083333, 5010, 3.797483, 1108, 15024, 1067, 1670.0, 4589, 0.915968063872
0.002, 0.00136557, 0.06851662, 0.1151, 0.083333, 5010, 2.012951, 489, 14901, 434, 113.863636364, 2199, 0.438922155689
0.002, 0.00136557, 0.06851662, 0.1151, 0.083333, 5010, 1.734802, 383, 14981, 341, 278.333333333, 1367, 0.272854291417
0.002, 0.00136557, 0.06851662, 0.1151, 0.083333, 5010, 1.521581, 294, 15012, 277, 556.666666667, 862, 0.172055888224
0.002, 0.00136557, 0.06851662, 0.1151, 0.083333, 5010, 2.290512, 431, 14892, 396, 104.375, 1103, 0.220159680639
0.002, 0.00136557, 0.06851662, 0.1151, 0.083333, 5010, 2.124133, 433, 14978, 396, 263.684210526, 1890, 0.377245508982
0.002, 0.00136557, 0.06851662, 0.1151, 0.083333, 5010, 2.361451, 515, 14943, 433, 167.0, 2296, 0.458283433134
0.002, 0.00136557, 0.06851662, 0.1151, 0.083333, 5010, 1.887385, 392, 14978, 366, 263.684210526, 1634, 0.326147704591
0.002, 0.00136557, 0.06851662, 0.1151, 0.083333, 5010, 2.44611, 631, 15020, 590, 1002.0, 2401, 0.479241516966
0.002, 0.00136557, 0.06851662, 0.1151, 0.083333, 5010, 1.543521, 290, 15014, 249, 626.25, 1165, 0.23253493014
0.002, 0.00136557, 0.06851662, 0.1151, 0.083333, 5010, 1.679583, 339, 14972, 306, 227.727272727, 1195, 0.238522954092
0.002, 0.00136557, 0.06851662, 0.1151, 0.083333, 5010, 1.966384, 453, 14978, 395, 263.684210526, 2119, 0.422954091816
0.002, 0.00136557, 0.06851662, 0.1151, 0.083333, 5010, 2.637921, 676, 14981, 641, 278.333333333, 3217, 0.642115768463
0.002, 0.00136557, 0.06851662, 0.1151, 0.083333, 5010, 1.905909, 447, 14936, 396, 151.818181818, 1749, 0.349101796407
0.002, 0.00136557, 0.06851662, 0.1151, 0.083333, 5010, 1.852982, 462, 14979, 373, 263.684210526, 1391, 0.277644710579
0.002, 0.00136557, 0.06851662, 0.1151, 0.083333, 5010, 1.705354, 356, 14891, 330, 102.244897959, 1458, 0.291017964072
0.002, 0.00136557, 0.06851662, 0.1151, 0.083333, 5010, 2.211873, 559, 14848, 512, 79.5238095238, 1561, 0.311576846307
0.002, 0.00136557, 0.06851662, 0.1151, 0.083333, 5010, 2.133408, 480, 15014, 445, 626.25, 1715, 0.342315369261
0.002, 0.00136557, 0.06851662, 0.1151, 0.083333, 5010, 1.643001, 330, 15018, 295, 835.0, 1104, 0.220359281437
0.002, 0.00136557, 0.06851662, 0.1151, 0.083333, 5010, 1.736896, 394, 14968, 332, 208.75, 1194, 0.238323353293
0.002, 0.00136557, 0.06851662, 0.1151, 0.083333, 5010, 1.598101, 358, 14927, 292, 135.405405405, 1346, 0.268662674651
0.002, 0.00136557, 0.06851662, 0.1151, 0.083333, 5010, 1.538051, 317, 14968, 251, 208.75, 944, 0.188423153693
0.002, 0.00136557, 0.06851662, 0.1151, 0.083333, 5010, 1.696088, 383, 14808, 327, 65.0649350649, 1509, 0.30119760479
0.002, 0.00136557, 0.06851662, 0.1151, 0.083333, 5010, 2.335209, 571, 14900, 529, 113.863636364, 2767, 0.552295409182
